iter	Passed	Remaining
898	1104	124
899	1105	122
900	1109	121
901	1111	120
902	1112	119
903	1113	118
904	1114	117
905	1115	115
906	1116	114
907	1118	113
908	1118	112
909	1119	110
910	1120	109
911	1121	108
912	1123	107
913	1125	105
914	1127	104
915	1128	103
916	1129	102
917	1130	100
918	1130	99
919	1131	98
920	1132	97
921	1133	95
922	1133	94
923	1134	93
924	1139	92
925	1141	91
926	1143	90
927	1144	88
928	1144	87
929	1145	86
930	1146	84
931	1147	83
932	1148	82
933	1149	81
934	1149	79
935	1154	78
936	1155	77
937	1157	76
938	1158	75
939	1160	74
940	1161	72
941	1161	71
942	1162	70
943	1163	69
944	1163	67
945	1164	66
946	1165	65
947	1168	64
948	1169	62
949	1171	61
950	1172	60
951	1173	59
952	1174	57
953	1174	56
954	1175	55
955	1176	54
956	1177	52
957	1177	51
958	1179	50
959	1180	49
960	1181	47
961	1182	46
962	1183	45
963	1184	44
964	1185	42
965	1185	41
966	1186	40
967	1187	39
968	1188	38
969	1188	36
970	1189	35
971	1190	34
972	1190	33
973	1191	31
974	1192	30
975	1192	29
976	1196	28
977	1197	26
978	1197	25
979	1198	24
980	1199	23
981	1200	22
982	1200	20
983	1201	19
984	1202	18
985	1203	17
986	1203	15
987	1204	14
988	1205	13
989	1205	12
990	1206	10
991	1207	9
992	1208	8
993	1210	7
994	1211	6
995	1212	4
996	1213	3
997	1214	2
998	1214	1
999	1215	0
